order_id,customer_id,product_id,category,sub_category,region,shipping_mode,order_date,ship_date,quantity,sales,discount,profit,shipping_duration,order_year,order_month,order_quarter,profit_margin,is_high_value
ORD-93810,CUST-0058,PROD-0007,Office Supplies,Art,South,First Class,2023-03-13,2023-03-19,2,1021.52,0.3,279.81,6,2023,3,1,0.2739153418435273,0
ORD-65302,CUST-0017,PROD-0008,Technology,Accessories,South,Standard Class,2023-10-15,2023-10-17,9,640.89,0.2,143.06,2,2023,10,4,0.2232208335283746,0
ORD-10851,CUST-0389,PROD-0041,Office Supplies,Storage,East,Second Class,2023-03-21,2023-03-23,6,171.27,0.2,63.54,2,2023,3,1,0.37099316868102994,0
ORD-55082,CUST-0310,PROD-0068,Technology,Copiers,North,Same Day,2023-02-10,2023-02-15,5,1247.52,0.3,42.87,5,2023,2,1,0.034364178530203925,1
ORD-57400,CUST-0296,PROD-0050,Office Supplies,Paper,North,First Class,2023-05-29,2023-05-30,4,1302.4,0.2,412.35,1,2023,5,2,0.316607800982801,1
ORD-93320,CUST-0428,PROD-0094,Technology,Machines,East,First Class,2023-12-10,2023-12-13,2,921.51,0.0,405.24,3,2023,12,4,0.43975648663606476,0
ORD-42087,CUST-0084,PROD-0119,Furniture,Bookcases,South,Second Class,2023-01-29,2023-01-31,1,1211.47,0.2,387.28,2,2023,1,1,0.3196777468695056,1
ORD-37653,CUST-0468,PROD-0146,Office Supplies,Art,South,Same Day,2023-07-22,2023-07-28,8,231.45,0.0,121.75,6,2023,7,3,0.5260315402894794,0
ORD-83579,CUST-0276,PROD-0068,Office Supplies,Storage,West,Second Class,2023-04-23,2023-04-25,9,750.4,0.0,256.39,2,2023,4,2,0.34167110874200424,0
ORD-30033,CUST-0322,PROD-0041,Office Supplies,Storage,North,Same Day,2023-07-15,2023-07-20,8,803.09,0.3,33.54,5,2023,7,3,0.041763687756042285,0
ORD-11504,CUST-0349,PROD-0185,Technology,Machines,East,Standard Class,2023-05-31,2023-06-04,3,691.51,0.5,-112.55,4,2023,5,2,-0.16275975763184913,0
ORD-44522,CUST-0498,PROD-0129,Technology,Phones,East,First Class,2023-03-20,2023-03-23,3,818.28,0.3,20.01,3,2023,3,1,0.024453732218800414,0
ORD-88504,CUST-0166,PROD-0126,Technology,Phones,East,Second Class,2023-05-03,2023-05-04,4,1319.45,0.0,757.77,1,2023,5,2,0.5743074766000985,1
ORD-73699,CUST-0418,PROD-0018,Office Supplies,Binders,South,Same Day,2023-10-09,2023-10-11,5,800.96,0.3,138.61,2,2023,10,4,0.17305483419896125,0
ORD-37760,CUST-0476,PROD-0139,Office Supplies,Binders,East,Same Day,2023-12-10,2023-12-16,6,668.39,0.3,109.99,6,2023,12,4,0.16455961339936265,0
ORD-42493,CUST-0116,PROD-0017,Furniture,Chairs,South,First Class,2023-01-04,2023-01-05,1,358.83,0.0,122.76,1,2023,1,1,0.34211186355655887,0
ORD-19287,CUST-0264,PROD-0061,Furniture,Furnishings,South,First Class,2023-10-20,2023-10-25,8,379.64,0.2,59.89,5,2023,10,4,0.1577547149931514,0
ORD-34957,CUST-0049,PROD-0025,Office Supplies,Storage,East,Same Day,2023-07-30,2023-08-03,1,1016.58,0.5,71.64,4,2023,7,3,0.07047158118396978,0
ORD-62772,CUST-0373,PROD-0087,Technology,Accessories,South,First Class,2023-10-02,2023-10-06,3,644.38,0.1,232.76,4,2023,10,4,0.36121543188801636,0
ORD-19880,CUST-0227,PROD-0141,Technology,Phones,North,Standard Class,2023-05-02,2023-05-04,7,738.75,0.0,251.62,2,2023,5,2,0.3406023688663283,0
ORD-17685,CUST-0085,PROD-0098,Technology,Copiers,East,Same Day,2023-05-27,2023-05-31,9,999.57,0.2,353.41,4,2023,5,2,0.35356203167361966,0
ORD-48890,CUST-0112,PROD-0015,Office Supplies,Paper,East,Standard Class,2023-01-26,2023-01-31,8,764.22,0.3,193.17,5,2023,1,1,0.2527675276752767,0
ORD-76562,CUST-0042,PROD-0048,Technology,Phones,South,Same Day,2023-03-03,2023-03-08,4,876.8,0.0,363.16,5,2023,3,1,0.4141879562043796,0
ORD-64948,CUST-0337,PROD-0150,Office Supplies,Art,East,First Class,2023-12-09,2023-12-15,6,373.26,0.2,134.65,6,2023,12,4,0.36074050259872475,0
